PROFILE INFORMATION
ID,Name,Email,Email Verified,Image,Gender,Age,Height,Weight,Timezone,Personality,University Level,Field of Study,Interests,Quote Style,Favorite Authors,Favorite Writers,Favorite Sports Figures,Favorite Musicians,Favorite Artists,Favorite Movies,Favorite Philosophers,Custom Favorites,Recent Activities
"dummy-user","sunny","","","","female","22","169","60","","[""ENTP"",""INFP""]","master","computer scienece","[""music"",""literature"",""nature"",""technology""]","","","jane austin, pabloe coelho","","","","inception, friends, big bang theory,office","","[]",""


GOALS
ID,User ID,Title,Description,Target Value,Current Value,Unit,Category,Subcategory,Difficulty,Streak,Best Streak,Completed,Completed At,DSS Component,Created Date,Updated Date
"cmhcs0bsh002dih6dv6nf7pdh","dummy-user","Read 30 min","","30","12","","Learning","Read 30 min","medium","0","0","0","","LM","1761789548","1761801123"
"cmhcrytu2002bih6dax1zbs40","dummy-user","Quit smoking","","90","39","","Breaking bad habits","Quit smoking","hard","0","0","0","","LM","1761789478","1761789569"


ACHIEVEMENTS
ID,User ID,Type,Title,Description,Icon,Stars,Unlocked Date,Created Date
"cmhbx04az005l1205mdoblsqo","dummy-user","streak","Monthly Master","Log mood for 30 consecutive days","💎","3","1761737470","1761737470"
"cmhbuq8zf002p1205n1umzpjr","dummy-user","streak","Week Warrior","Log mood for 7 consecutive days","🔥","2","1761733650","1761733650"
"cmhbulelw002d12058shx68i1","dummy-user","special","Activity Explorer","Log 10 different activities","🎯","2","1761733424","1761733424"
"cmhbu3m3y001l1205csavcyjt","dummy-user","habit","Sleep Champion","Log 8+ hours sleep for 7 consecutive days","😴","2","1761732594","1761732594"
"cmhbte5is000912055vfqu1zb","dummy-user","streak","Getting Started","Log your first mood entry","🌟","1","1761731406","1761731406"


AI API CONNECTIONS
Service,Connected,Encrypted API Key
OpenAI,Yes,"HgRCFAIGBkIhNkcdKgcXCjkCMk4YeGpwYj45WQhEBCccDioeABdHNAxoWjwBFgFYBkMpXzZUEVFYLBdoGg5VAAQDER8KOBJjQX4HCTZXAQkCCztHHR8HCDM4UWsEUEpsbWFCdxsoGys6WAEdDi48MBE6BQIuPV1UNX1WUQ1aGRg2Pj1dKx0uPB0CMEUtFz8LPTdldHNeORVcHgpYHwlDOBldDDQ="
Gemini,No,""
TextCortex,No,""


PERIOD TRACKING
No period tracking entries found


CONGRATULATIONS
ID,User ID,Type,Title,Message,Action Message,Icon,Stars,Is Read,Created Date
"cmh7d5dvk00171304702sendb","dummy-user","achievement_unlocked","Sleep Champion","🏆 Amazing work Sunny! You've earned the ""Sleep Champion"" badge! ⭐⭐","Log 8+ hours sleep for 7 consecutive days","😴","2","1","2025"
"cmh7airit0007ifcbw9tlevkz","dummy-user","achievement_unlocked","Early Bird","🏆 Amazing work Sunny! You've earned the ""Early Bird"" badge! ⭐⭐","Log mood before 9 AM for 7 days","🐦","2","1","2025"
"cmh6a7ksm004fbt0rqhabplk5","dummy-user","achievement_unlocked","Week Warrior","🏆 Amazing work Sunny! You've earned the ""Week Warrior"" badge! ⭐⭐","Log mood for 7 consecutive days","🔥","2","1","2025"
"cmh69g9up0017bt0rp4low9r2","dummy-user","achievement_unlocked","Activity Explorer","🏆 Amazing work Sunny! You've earned the ""Activity Explorer"" badge! ⭐⭐","Log 10 different activities","🎯","2","1","2025"
"cmh6998xv0007bt0ro7n21rfs","dummy-user","achievement_unlocked","Getting Started","🏆 Amazing work Sunny! You've earned the ""Getting Started"" badge! ⭐","Log your first mood entry","🌟","1","1","2025"


DAILY TRACKING
ID,User ID,Date,Water Intake,Meals Eaten,Meal Quality,Caffeine,Alcohol,Exercise,Exercise Type,Exercise Duration,Steps,Social Interaction,Screen Time,Outdoor Time,Meditation,Meditation Duration,Journaling,Reading Time,Medication Taken,Supplements,Symptoms,Deep Work Minutes,Tasks Completed,Sleep Hours,Recovery Action,Positive Social Touchpoints,DSS Score,Learning Momentum,Recovery Index,Connection Score,Notes,Created Date,Updated Date
"cmhcwqcb80001p5fm52u34ydz","dummy-user","1761796800","0","0","good","0","0","No","","0","","No","","","No","","No","","No","","","30","2","8","Yes","0","-2.75197637663226","2","11","0","","1761797480","1761801141"


GOAL PROGRESS DAILY
ID,User ID,Goal ID,Date,Value,Created Date,Updated Date
"cmhcxmkj30001vrn4ch5mcaxp","dummy-user","cmhcs0bsh002dih6dv6nf7pdh","1761796800","1","1761798984","1761801124"
"cmhcxmkhk0000vrn4aj60przv","dummy-user","cmhcrytu2002bih6dax1zbs40","1761796800","0","1761798984","1761798984"


MOOD ENTRIES
ID,User ID,Valence,Energy,Focus,Stress,Sleep,Notes,Activities,Selected Time Slots,Selected Subcategories,Activity Entries,DSS Analysis,Reflection,Voice Note,AI Suggestion,Time Bucket,On Period,Period Day,Water Intake,Meals Eaten,Meal Quality,Caffeine,Alcohol,Mood Composite,Created Date,Updated Date
"cmhcyqsi4000912wz97llvho3","dummy-user","5","5","5","5","8","","[]","[]","[]","[]","","","","","night","0","","","","good","","","-1.704885731489882","1761800860","1761800860"
"cmhcyip5r000312wzuwould8f","dummy-user","9","9","9","5","10","","[]","[]","[]","[]","","","","","night","0","","","","good","","","0.4544694313395852","1761800483","1761800483"
"cmhcx7q9w0033ih6dtpfmr2fh","dummy-user","5","5","5","5","8","","[]","[]","[]","[]","","","","","night","0","","1","","good","","","-1.704885731489882","1761798291","1761798291"
"cmhcwbnc0002xih6dw5dtdq5u","dummy-user","5","5","5","5","8","","[]","[]","[]","[]","","","","","night","0","","","","good","","","-1.704885731489882","1761796740","1761796740"
"cmhcw0s7f002rih6dpxjccxmk","dummy-user","5","5","5","5","8","","[]","[]","[]","[]","","","","","night","0","","","","good","","","-1.704885731489882","1761796260","1761796260"
"cmhcvxr70002lih6ds0wmo7ok","dummy-user","5","5","5","5","8","","[]","[]","[]","[]","","","","","night","0","","","","good","","","-1.704885731489882","1761796140","1761796140"
"cmhcvb02l002fih6dfw0ei2kv","dummy-user","5","5","6","4","8","","[]","[]","[]","[]","","","","","night","0","","","","good","","","-1.489883197728515","1761795060","1761795060"
"cmhcpexpe0025ih6dlmk479qe","dummy-user","8","8","8","3","8","","[]","[]","[]","[]","","","","","evening","0","","1","1","good","1","","0.4774392052289127","1761785160","1761785160"
"cmhcnkaxr0021ih6dkhyfmig6","dummy-user","6","6","6","5","8","","[""learning"",""studying"",""exercise"",""emailing""]","[""morning-6"",""morning-7"",""morning-9"",""morning-10"",""midday-11"",""midday-13"",""midday-14"",""midday-15""]","[""Podcasts on Music History"",""Note-Taking Methods"",""Collaborative Projects"",""Outdoor Hiking"",""Martial Arts"",""Zumba""]","[{""activity"":""learning"",""exactTime"":""2025-10-29T06:00:00"",""timeSlot"":""morning-6"",""hour"":6},{""activity"":""learning"",""exactTime"":""2025-10-29T07:00:00"",""timeSlot"":""morning-7"",""hour"":7},{""activity"":""studying"",""exactTime"":""2025-10-29T09:00:00"",""timeSlot"":""morning-9"",""hour"":9},{""activity"":""studying"",""exactTime"":""2025-10-29T10:00:00"",""timeSlot"":""morning-10"",""hour"":10},{""activity"":""studying"",""exactTime"":""2025-10-29T11:00:00"",""timeSlot"":""midday-11"",""hour"":11},{""activity"":""exercise"",""exactTime"":""2025-10-29T13:00:00"",""timeSlot"":""midday-13"",""hour"":13},{""activity"":""exercise"",""exactTime"":""2025-10-29T14:00:00"",""timeSlot"":""midday-14"",""hour"":14},{""activity"":""emailing"",""exactTime"":""2025-10-29T15:00:00"",""timeSlot"":""midday-15"",""hour"":15}]","{""learning"":{""primaryComponent"":""LM"",""confidence"":0.85,""reasoning"":""These subcategories focus on developing skills and knowledge relevant to both personal and professional interests, promoting continuous learning and growth."",""secondaryComponents"":[""RI""],""activityType"":""learning""},""studying"":{""primaryComponent"":""LM"",""confidence"":0.9,""reasoning"":""This activity is centered around focused learning and skill building, which are essential for effective studying."",""secondaryComponents"":null,""activityType"":""deep_work""},""exercise"":{""primaryComponent"":""RI"",""confidence"":0.85,""reasoning"":""Exercise activities like those suggested are primarily aimed at enhancing physical health and promoting mental well-being, contributing to recovery from daily stresses."",""secondaryComponents"":[""CN""],""activityType"":""physical""},""emailing"":{""primaryComponent"":""CN"",""confidence"":0.85,""reasoning"":""Emailing is a key form of communication and social interaction, fostering connections with others."",""secondaryComponents"":[""LM""],""activityType"":""social""}}","","","","midday","0","","6","3","good","1","","-0.4692566603969215","1761764400","1761764400"
"cmhcng3jw001xih6d8nyl309j","dummy-user","6","6","5","5","7","","[""learning"",""studying"",""coding"",""walking"",""crafting"",""watching""]","[""morning-9"",""morning-10"",""midday-11"",""midday-13"",""midday-14"",""midday-15"",""midday-12"",""midday-16"",""evening-17"",""evening-18"",""evening-19"",""evening-20"",""evening-21"",""evening-22"",""night-23""]","[""Cultural Studies of Music"",""Focus Techniques"",""Hackathons"",""Nature Walks"",""Candle Making"",""Comedy Specials""]","[{""activity"":""learning"",""exactTime"":""2025-10-28T09:00:00"",""timeSlot"":""morning-9"",""hour"":9},{""activity"":""learning"",""exactTime"":""2025-10-28T10:00:00"",""timeSlot"":""morning-10"",""hour"":10},{""activity"":""learning"",""exactTime"":""2025-10-28T11:00:00"",""timeSlot"":""midday-11"",""hour"":11},{""activity"":""studying"",""exactTime"":""2025-10-28T13:00:00"",""timeSlot"":""midday-13"",""hour"":13},{""activity"":""studying"",""exactTime"":""2025-10-28T14:00:00"",""timeSlot"":""midday-14"",""hour"":14},{""activity"":""studying"",""exactTime"":""2025-10-28T15:00:00"",""timeSlot"":""midday-15"",""hour"":15},{""activity"":""studying"",""exactTime"":""2025-10-28T12:00:00"",""timeSlot"":""midday-12"",""hour"":12},{""activity"":""coding"",""exactTime"":""2025-10-28T16:00:00"",""timeSlot"":""midday-16"",""hour"":16},{""activity"":""coding"",""exactTime"":""2025-10-28T17:00:00"",""timeSlot"":""evening-17"",""hour"":17},{""activity"":""coding"",""exactTime"":""2025-10-28T18:00:00"",""timeSlot"":""evening-18"",""hour"":18},{""activity"":""walking"",""exactTime"":""2025-10-28T19:00:00"",""timeSlot"":""evening-19"",""hour"":19},{""activity"":""crafting"",""exactTime"":""2025-10-28T20:00:00"",""timeSlot"":""evening-20"",""hour"":20},{""activity"":""crafting"",""exactTime"":""2025-10-28T21:00:00"",""timeSlot"":""evening-21"",""hour"":21},{""activity"":""watching"",""exactTime"":""2025-10-28T22:00:00"",""timeSlot"":""evening-22"",""hour"":22},{""activity"":""watching"",""exactTime"":""2025-10-28T23:00:00"",""timeSlot"":""night-23"",""hour"":23}]","{""learning"":{""primaryComponent"":""LM"",""confidence"":0.85,""reasoning"":""The suggestions focus on learning opportunities that enhance knowledge and skills, supporting the user's interest in music and personal development."",""secondaryComponents"":[""CN""],""activityType"":""learning""},""studying"":{""primaryComponent"":""LM"",""confidence"":0.85,""reasoning"":""Studying inherently involves deep work and focused learning, which aligns closely with the Learning Momentum component."",""secondaryComponents"":[""RI""],""activityType"":""deep_work""},""coding"":{""primaryComponent"":""LM"",""confidence"":0.85,""reasoning"":""The activity of coding involves skill building, problem-solving, and focused learning, which are key aspects of Learning Momentum."",""secondaryComponents"":[null],""activityType"":""deep_work""},""walking"":{""primaryComponent"":""RI"",""confidence"":0.8,""reasoning"":""Walking is primarily a physical activity that promotes relaxation and mental restoration, making it a strong fit for the Recovery Index."",""secondaryComponents"":[""CN""],""activityType"":""physical""},""crafting"":{""primaryComponent"":""CN"",""confidence"":0.75,""reasoning"":""Crafting activities often involve sharing and collaborating with others, making it a great way to connect socially while engaging in a creative pursuit."",""secondaryComponents"":[""RI""],""activityType"":""creative""},""watching"":{""primaryComponent"":""CN"",""confidence"":0.85,""reasoning"":""Watching various genres often leads to shared experiences and discussions, promoting social interaction and connection with others."",""secondaryComponents"":[""RI""],""activityType"":""social""}}","","","","night","0","","6","3","good","","","-1.496395658457827","1761706800","1761706800"
